sequence_index,pearson_r_baseline,pearson_r_standard,pearson_r_qlayer
1142,0.2074573040008545,0.314475417137146,0.5296499729156494
1143,0.1652529388666153,0.19530288875102997,0.3887448310852051
1144,0.20485644042491913,0.28492608666419983,0.3726119101047516
1145,0.1981903463602066,0.1867971420288086,0.27582550048828125
1146,0.21880552172660828,0.2758994698524475,0.34320902824401855
1147,0.3742421865463257,0.38437947630882263,0.4518200159072876
1148,0.15436692535877228,0.29133206605911255,0.461895227432251
1149,0.2605239152908325,0.33573365211486816,0.5525427460670471
1150,0.320901483297348,0.34129056334495544,0.5179625749588013
1151,0.20789411664009094,0.2509927451610565,0.3736474812030792
1152,0.0906415581703186,0.15656894445419312,0.3169628381729126
1153,0.2607117295265198,0.3001338839530945,0.4585690200328827
1154,0.13550128042697906,0.4982492923736572,0.6605469584465027
1155,0.2045261114835739,0.2429676353931427,0.3926403820514679
1156,0.17306721210479736,0.24482597410678864,0.42778280377388
1157,0.21058151125907898,0.2626708447933197,0.31059572100639343
1158,0.0799172893166542,0.10219103842973709,0.1128779947757721
1159,0.08050168305635452,0.13664592802524567,0.2364526093006134
1160,0.17147676646709442,0.1748233437538147,0.2144240438938141
1161,0.1892051100730896,0.3745094835758209,0.5640703439712524
1162,0.19729319214820862,0.25517037510871887,0.5555115938186646
1163,0.2260609269142151,0.25110775232315063,0.38351190090179443
1164,0.13866013288497925,0.24069420993328094,0.36911332607269287
1165,0.15893752872943878,0.3108963072299957,0.480729341506958
1166,0.2141542285680771,0.30019229650497437,0.5282723307609558
1167,0.2654576003551483,0.4021390378475189,0.6436507701873779
1168,0.15482331812381744,0.3249531686306,0.542171835899353
1169,0.19400234520435333,0.22832925617694855,0.3581335246562958
1170,0.15222829580307007,0.3426281809806824,0.4642353057861328
1171,0.26288357377052307,0.3780439794063568,0.5499327182769775
1172,0.11136434972286224,0.1399007886648178,0.3597113788127899
1173,0.19709298014640808,0.3032159209251404,0.5298926830291748
1174,0.19973395764827728,0.1702050119638443,0.27234211564064026
1175,0.11889947950839996,0.0878194123506546,0.18751457333564758
1176,0.10191018134355545,0.06715858727693558,0.22956106066703796
1177,0.27974197268486023,0.3141057789325714,0.44337281584739685
1178,0.4156956076622009,0.6094290614128113,0.8169782161712646
1179,0.01763155870139599,0.28061503171920776,0.4002779722213745
1180,0.1473390907049179,0.16882455348968506,0.34416383504867554
1181,0.08126770704984665,0.06825032830238342,0.22491306066513062
1182,0.2870616018772125,0.2360551953315735,0.38456422090530396
1183,0.28074371814727783,0.4741649627685547,0.7444711923599243
1184,0.22733108699321747,0.21750007569789886,0.38095569610595703
1185,0.07655069977045059,0.1329536885023117,0.30626538395881653
1186,0.1424255073070526,0.1847749501466751,0.22329574823379517
1187,0.3006674647331238,0.4151175320148468,0.6449736952781677
1188,0.25906917452812195,0.34117618203163147,0.49316179752349854
1189,0.17945195734500885,0.18967702984809875,0.406757652759552
1190,0.12444092333316803,0.3273281455039978,0.42788949608802795
1191,0.2099921852350235,0.29546958208084106,0.4647411108016968
1192,0.2616208493709564,0.34625887870788574,0.6011430621147156
1193,0.07244305312633514,0.10366563498973846,0.1485529989004135
1194,0.05645991489291191,0.3114711344242096,0.503541886806488
1195,0.25918903946876526,0.39407485723495483,0.5499520301818848
1196,0.27987027168273926,0.35134100914001465,0.6236633062362671
1197,0.14718586206436157,0.18629281222820282,0.3078896105289459
1198,0.12846896052360535,0.21844017505645752,0.36865219473838806
1199,0.41297000646591187,0.5096054077148438,0.6787477135658264
1200,0.10728693753480911,0.14548668265342712,0.24869735538959503
1201,0.12430042773485184,0.15970194339752197,0.16153329610824585
1202,0.25902804732322693,0.3770463466644287,0.5509656071662903
1203,0.1565159112215042,0.20828098058700562,0.32003989815711975
1204,0.08973977714776993,0.0780385360121727,0.0843840017914772
1205,0.20288018882274628,0.23125089704990387,0.27488934993743896
1206,0.21884778141975403,0.3641397953033447,0.5014466643333435
1207,0.18325071036815643,0.2762615382671356,0.6817856431007385
1208,0.184739351272583,0.26317742466926575,0.5052980780601501
1209,0.11036062985658646,0.23968128859996796,0.41945067048072815
1210,0.11793377995491028,0.192570760846138,0.43281641602516174
1211,0.13516926765441895,0.14575624465942383,0.22686386108398438
1212,0.03442085534334183,0.05109665170311928,-0.004860255867242813
1213,0.1398228406906128,0.18967406451702118,0.2979893982410431
